Id,skilled
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,1
39,1
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,1
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,1
224,1
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,0
